"MOVIL_128", "24:da:9b:54:18:b9", "232284", "0.0,0.0", "n/d", ""
"MOVIL_128", "24:da:9b:54:18:b9", "188625", "-27.269284,-65.354208", "27° 16' 9.4" S, 65° 21' 15.1" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235574", "0.0,0.0", "n/d", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235596", "-27.043,-65.390222", "27° 2' 34.8" S, 65° 23' 24.8" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "198411", "-27.053205,-65.386337", "27° 3' 11.5" S, 65° 23' 10.8" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235278", "-27.061749,-65.406994", "27° 3' 42.3" S, 65° 24' 25.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "191550", "0.0,0.0", "n/d", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235573", "0.0,0.0", "n/d", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235570", "-27.16516,-65.486833", "27° 9' 54.6" S, 65° 29' 12.6" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235589", "-27.376638,-65.610169", "27° 22' 35.9" S, 65° 36' 36.6" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "232384", "-27.360427,-65.577968", "27° 21' 37.5" S, 65° 34' 40.7" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235612", "-27.367218,-65.575285", "27° 22' 2.0" S, 65° 34' 31.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235595", "-27.348195,-65.591347", "27° 20' 53.5" S, 65° 35' 28.8" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "195336", "-27.147852,-65.358017", "27° 8' 52.3" S, 65° 21' 28.9" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "190284", "-27.060066,-65.40723", "27° 3' 36.2" S, 65° 24' 26.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "230809", "-27.179662,-65.511445", "27° 10' 46.8" S, 65° 30' 41.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "198269", "-27.171379,-65.51305", "27° 10' 17.0" S, 65° 30' 47.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "180744", "-27.24019,-65.483205", "27° 14' 24.7" S, 65° 28' 59.5" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235606", "-27.055244,-65.400208", "27° 3' 18.9" S, 65° 24' 0.7" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235586", "-27.218999,-65.526093", "27° 13' 8.4" S, 65° 31' 33.9" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "197055", "-27.251038,-65.54428", "27° 15' 3.7" S, 65° 32' 39.4" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "182651", "-27.261518,-65.555698", "27° 15' 41.5" S, 65° 33' 20.5" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "232001", "-27.64042,-65.57707", "27° 38' 25.5" S, 65° 34' 37.5" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235617", "-27.640416,-65.577119", "27° 38' 25.5" S, 65° 34' 37.6" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235621", "-27.640721,-65.576813", "27° 38' 26.6" S, 65° 34' 36.5" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235611", "-27.456845,-65.70232", "27° 27' 24.6" S, 65° 42' 8.4" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "230903", "-27.47078,-65.683796", "27° 28' 14.8" S, 65° 41' 1.7" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "235614", "-27.475692,-65.692572", "27° 28' 32.5" S, 65° 41' 33.3" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "171679", "-27.474961,-65.68497", "27° 28' 29.9" S, 65° 41' 5.9" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "232172", "-27.479859,-65.682188", "27° 28' 47.5" S, 65° 40' 55.9" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "188427", "-27.419358,-65.521931", "27° 25' 9.7" S, 65° 31' 19.0" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "180675", "-27.304601,-65.575886", "27° 18' 16.6" S, 65° 34' 33.2" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "230865", "-27.307749,-65.576638", "27° 18' 27.9" S, 65° 34' 35.9" W", ""
"MOVIL_128", "24:da:9b:54:18:b9", "191124", "-27.33582632,-65.61101397", "27° 20' 9.0" S, 65° 36' 39.7" W", ""
